,Runs,Positions,Strike,Pfl Wts,Deposit
1,Run1,C,102.15856,-6.639105,0.3148278
2,Run1,C,279.25278,-6.639105,-2.8919238e-05
3,Run1,C,41.135582,-6.639105,0.07332334
4,Run1,N,0.0,-6.639105,-0.0019307935
5,Run1,N,0.0,-6.639105,0.0011355837
6,Run1,N,0.0,-6.639105,0.013729108
7,Run1,C,26.993277,-6.639105,0.11769331
8,Run1,N,0.0,-6.639105,-0.0036005771
9,Run1,C,85.56695,-6.639105,0.28015587
10,Run1,N,0.0,-6.639105,-0.0003986271
11,Run1,N,0.0,-6.639105,0.0054621357
12,Run1,N,0.0,-6.639105,-0.0040931264
13,Run1,N,0.0,-6.639105,0.0006253682
14,Run1,N,0.0,-6.639105,-0.010294971
15,Run1,N,0.0,-6.639105,-0.0023475664
16,Run2,C,98.35655,-5.4412417,0.18775532
17,Run2,N,0.0,-5.4412417,-0.009146115
18,Run2,C,51.788853,-5.4412417,0.01621047
19,Run2,C,79.45097,-5.4412417,0.17245004
20,Run2,C,23.317987,-5.4412417,0.038678963
21,Run2,N,0.0,-5.4412417,0.007812237
22,Run2,F,-118.467155,-5.4412417,1.956295e-06
23,Run2,N,0.0,-5.4412417,0.02367809
24,Run2,N,0.0,-5.4412417,-0.006666455
25,Run2,N,0.0,-5.4412417,-0.0088371225
26,Run2,C,88.75306,-5.4412417,0.15726052
27,Run2,C,112.54748,-5.4412417,0.20643912
28,Run2,C,19.552156,-5.4412417,0.04715447
29,Run2,N,0.0,-5.4412417,0.009874687
30,Run2,C,24.591845,-5.4412417,0.03749314
31,Run3,C,18.007605,-5.4794583,0.007318334
32,Run3,C,5.9012923,-5.4794583,0.009561778
33,Run3,C,3.4503522,-5.4794583,0.001638279
34,Run3,N,0.0,-5.4794583,-0.0014536723
35,Run3,C,22.595675,-5.4794583,0.052094214
36,Run3,C,42.94557,-5.4794583,0.030335214
37,Run3,C,82.67061,-5.4794583,0.23486088
38,Run3,C,96.205055,-5.4794583,0.24486297
39,Run3,N,0.0,-5.4794583,0.0044305823
40,Run3,C,30.043694,-5.4794583,0.012639638
41,Run3,N,0.0,-5.4794583,0.01268504
42,Run3,C,42.79663,-5.4794583,0.023931563
43,Run3,N,0.0,-5.4794583,0.0043767495
44,Run3,C,48.278206,-5.4794583,0.028172284
45,Run3,C,112.06578,-5.4794583,0.20620374
46,Run4,N,0.0,-4.5471344,0.011808949
47,Run4,C,35.225082,-4.5471344,0.019057149
48,Run4,N,0.0,-4.5471344,0.014672866
49,Run4,C,32.49308,-4.5471344,0.032758053
50,Run4,N,0.0,-4.5471344,-0.017342731
51,Run4,N,0.0,-4.5471344,0.0177796
52,Run4,C,23.329865,-4.5471344,0.04431072
53,Run4,C,76.31306,-4.5471344,0.09399717
54,Run4,N,0.0,-4.5471344,-0.011648258
55,Run4,C,99.41417,-4.5471344,0.13404611
56,Run4,C,91.722664,-4.5471344,0.14013559
57,Run4,C,83.549934,-4.5471344,0.14918537
58,Run4,C,31.119574,-4.5471344,0.03383152
59,Run4,C,119.19419,-4.5471344,0.09980717
60,Run4,C,108.58429,-4.5471344,0.13277951
